time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-25T21:55:25.590Z,19.395834,-155.2709961,0.73,3.49,ml,56,37,0.002541,0.2,hv,hv70320521,2018-06-25T23:04:34.723Z,"5km SW of Volcano, Hawaii",earthquake,0.23,0.13,3.34,36,automatic,hv,hv
2018-06-25T21:53:24.390Z,19.3974991,-155.2706604,0.12,2.68,ml,23,57,0.003524,0.21,hv,hv70320511,2018-06-25T21:59:10.790Z,"5km SW of Volcano, Hawaii",earthquake,0.19,0.22,0.45,15,automatic,hv,hv
2018-06-25T21:53:00.250Z,19.421833,-155.3085022,4.81,2.5,ml,8,238,0.01956,0.13,hv,hv70320506,2018-06-25T21:58:55.270Z,"7km W of Volcano, Hawaii",earthquake,1.58,2.25,0.49,16,automatic,hv,hv
2018-06-25T21:48:30.300Z,19.4171658,-155.2913361,1.05,2.62,ml,16,54,0.00379,0.29,hv,hv70320491,2018-06-25T21:54:16.840Z,"5km WSW of Volcano, Hawaii",earthquake,0.58,0.25,0.39,14,automatic,hv,hv
2018-06-25T21:46:19.750Z,19.4076672,-155.2536621,0.02,2.94,ml,21,64,0.007331,0.31,hv,hv70320486,2018-06-25T21:52:05.640Z,"3km SSW of Volcano, Hawaii",earthquake,0.31,0.46,0.54,8,automatic,hv,hv
2018-06-25T21:44:14.990Z,19.4580002,-155.4641724,0.92,2.48,ml,8,239,0.05787,0.17,hv,hv70320476,2018-06-25T21:50:00.930Z,"23km W of Volcano, Hawaii",earthquake,3.29,7.6,4.55,9,automatic,hv,hv
2018-06-25T21:44:09.050Z,19.4168339,-155.2688293,0.25,2.99,ml,41,48,0.009671,0.29,hv,hv70320481,2018-06-25T22:45:41.040Z,"3km WSW of Volcano, Hawaii",earthquake,0.24,0.16,2.92,30,automatic,hv,hv
2018-06-25T21:42:28.050Z,19.4235001,-155.2658386,0.52,2.54,ml,13,108,0.003962,0.11,hv,hv70320471,2018-06-25T21:48:12.440Z,"3km WSW of Volcano, Hawaii",earthquake,0.23,0.18,0.34,13,automatic,hv,hv
2018-06-25T21:40:34.820Z,19.3950005,-155.2799988,0,2.74,ml,14,101,0.006011,0.33,hv,hv70320466,2018-06-25T21:46:21.260Z,"5km SW of Volcano, Hawaii",earthquake,0.33,0.43,0.42,11,automatic,hv,hv
2018-06-25T21:37:51.470Z,19.4273338,-155.264328,1.79,2.62,ml,16,213,0.003176,0.22,hv,hv70320456,2018-06-25T21:43:38.400Z,"2km W of Volcano, Hawaii",earthquake,0.84,0.38,0.3,11,automatic,hv,hv
2018-06-25T21:30:10.510Z,19.4148331,-155.2845001,1.09,2.92,ml,45,25,0.00284,0.23,hv,hv70320431,2018-06-25T21:35:56.870Z,"5km WSW of Volcano, Hawaii",earthquake,0.25,0.17,2.81,32,automatic,hv,hv
2018-06-25T21:26:53.830Z,19.4055004,-155.2628326,-0.16,2.98,ml,33,53,0.007121,0.2,hv,hv70320421,2018-06-25T21:32:42.980Z,"3km SW of Volcano, Hawaii",earthquake,0.16,0.2,2.89,31,automatic,hv,hv
2018-06-25T21:26:26.330Z,19.4241657,-155.2623291,0.63,2.93,ml,15,124,0.001726,0.19,hv,hv70320416,2018-06-25T21:32:13.590Z,"2km WSW of Volcano, Hawaii",earthquake,0.39,0.16,1.99,25,automatic,hv,hv
2018-06-25T21:24:35.480Z,19.4291668,-155.277832,-0.44,2.95,ml,24,98,0.00439,0.28,hv,hv70320411,2018-06-25T23:19:08.040Z,"28km SE of Volcano, Hawaii",earthquake,0.3,0.27,3.22,25,automatic,hv,hv
